阿Ｑ/null/null/a1,Ｑ/null/null/
滑石/null/null/hua2,shi2/null/null/
滑行/null/null/hua2,xing2/null/null/
化成/null/null/hua4,cheng2/null/null/
化冻/null/null/hua4,dong4/null/null/
化肥/null/null/hua4,fei2/null/null/
化分/null/null/hua4,fen1/null/null/
化工/null/null/hua4,gong1/null/null/
化合/null/null/hua4,he2/null/null/
化化/null/null/hua4,hua4/null/null/
化解/null/null/hua4,jie3/null/null/
化境/null/null/hua4,jing4/null/null/
化疗/null/null/hua4,liao2/null/null/
化名/null/null/hua4,ming2/null/null/
化钱/null/null/hua4,qian2/null/null/
化脓/null/null/hua4,nong2/null/null/
化身/null/null/hua4,shen1/null/null/
化生/null/null/hua4,sheng1/null/null/
化石/null/null/hua4,shi2/null/null/
化痰/null/null/hua4,tan2/null/null/
化外/null/null/hua4,wai4/null/null/
化纤/null/null/hua4,xian1/null/null/
化学/null/null/hua4,xue2/null/null/
化验/null/null/hua4,yan4/null/null/
化缘/null/null/hua4,yuan2/null/null/
化斋/null/null/hua4,zhai1/null/null/
化妆/null/null/hua4,zhuang1/null/null/
化装/null/null/hua4,zhuang1/null/null/
化作/null/null/hua4,zuo4/null/null/
划拨/null/null/hua4,bo1/null/null/
划船/null/null/hua2,chuan2/null/null/
划定/null/null/hua4,ding4/null/null/
划分/null/null/hua4,fen1/null/null/
划归/null/null/hua4,gui1/null/null/
划过/null/null/hua2,guo4/null/null/
划划/null/null/hua2,hua2/null/null/
划价/null/null/hua4,jia4/null/null/
划桨/null/null/hua2,jiang3/null/null/
划拉/null/null/hua2,la1/null/null/
划清/null/null/hua4,qing1/null/null/
划拳/null/null/hua2,quan2/null/null/
划算/null/null/hua2,suan4/null/null/
划艇/null/null/hua2,ting3/null/null/
划线/null/null/hua4,xian4/null/null/
划行/null/null/hua2,xing2/null/null/
划一/null/null/hua4,yi1/null/null/
划子/null/null/hua2,zi3/null/null/
画夹/null/null/hua4,jia1/null/null/
画家/null/null/hua4,jia1/null/null/
画卷/null/null/hua4,juan4/null/null/
画论/null/null/hua4,lun4/null/null/
画片/null/null/hua4,pian1/null/null/
画屏/null/null/hua4,ping2/null/null/
画帖/null/null/hua4,tie4/null/null/
画轴/null/null/hua4,zhou2/null/null/
话别/null/null/hua4,bie2/null/null/
话头/null/null/hua4,tou2/null/null/
话说/null/null/hua4,shuo1/null/null/
话语/null/null/hua4,yu3/null/null/
怀化/null/null/huai2,hua4/null/null/
怀疑/null/null/huai2,yi2/null/null/
怀远/null/null/huai2,yuan3/null/null/
坏处/null/null/huai4,chu4/null/null/
踝骨/null/null/huai2,gu3/null/null/
坏蛋/null/null/huai4,dan4/null/null/
坏话/null/null/huai4,hua4/null/null/
坏人/null/null/huai4,ren2/null/null/
坏事/null/null/huai4,shi4/null/null/
坏水/null/null/huai4,shui3/null/null/
坏死/null/null/huai4,si3/null/null/
欢场/null/null/huan1,chang3/null/null/
坏种/null/null/huai4,zhong3/null/null/
欢度/null/null/huan1,du4/null/null/
欢好/null/null/huan1,hao3/null/null/
欢乐/null/null/huan1,le4/null/null/
欢愉/null/null/huan1,yu2/null/null/
还报/null/null/hai2,bao4/null/null/
还本/null/null/huan2,ben3/null/null/
还好/null/null/hai2,hao3/null/null/
还击/null/null/huan2,ji1/null/null/
还魂/null/null/huan2,hun2/null/null/
还价/null/null/huan2,jia4/null/null/
还口/null/null/huan2,kou3/null/null/
还款/null/null/hai2,kuan3/null/null/
还清/null/null/huan2,qing1/null/null/
还礼/null/null/huan2,li3/null/null/
还情/null/null/hai2,qing2/null/null/
还是/null/null/hai2,shi4/null/null/
还手/null/null/huan2,shou3/null/null/
还俗/null/null/huan2,su2/null/null/
还田/null/null/hai2,tian2/null/null/
还席/null/null/huan2,xi2/null/null/
还乡/null/null/huan2,xiang1/null/null/
还阳/null/null/huan2,yang2/null/null/
还原/null/null/huan2,yuan2/null/null/
还愿/null/null/huan2,yuan4/null/null/
还债/null/null/huan2,zhai4/null/null/
还帐/null/null/hai2,zhang4/null/null/
还账/null/null/huan2,zhang4/null/null/
还政/null/null/hai2,zheng4/null/null/
还嘴/null/null/huan2,zui3/null/null/
环合/null/null/huan2,he2/null/null/
环节/null/null/huan2,jie2/null/null/
环食/null/null/huan2,shi2/null/null/
环伺/null/null/huan2,si4/null/null/
环行/null/null/huan2,xing2/null/null/
环中/null/null/huan2,zhong1/null/null/
缓冲/null/null/huan3,chong1/null/null/
缓和/null/null/huan3,he2/null/null/
缓解/null/null/huan3,jie3/null/null/
缓期/null/null/huan3,qi1/null/null/
缓行/null/null/huan3,xing2/null/null/
幻化/null/null/huan4,hua4/null/null/
幻景/null/null/huan4,jing3/null/null/
幻觉/null/null/huan4,jue2/null/null/
幻术/null/null/huan4,shu4/null/null/
唤头/null/null/huan4,tou55/null/null/
幻数/null/null/huan4,shu4/null/null/
换亲/null/null/huan4,qin1/null/null/
换帖/null/null/huan4,tie3/null/null/
换洗/null/null/huan4,xi3/null/null/
换约/null/null/huan4,yue1/null/null/
涣散/null/null/huan4,san4/null/null/
荒地/null/null/huang1,di4/null/null/
荒凉/null/null/huang1,liang2/null/null/
荒落/null/null/huang1,luo4/null/null/
皇朝/null/null/huang2,chao2/null/null/
皇妃/null/null/huang2,fei1/null/null/
皇家/null/null/huang2,jia1/null/null/
皇冠/null/null/huang2,guan1/null/null/
皇上/null/null/huang2,shang4/null/null/
皇亲/null/null/huang2,qin1/null/null/
黄泥/null/null/huang2,ni2/null/null/
黄雀/null/null/huang2,que4/null/null/
黄沙/null/null/huang2,sha1/null/null/
黄石/null/null/huang2,shi2/null/null/
黄羊/null/null/huang2,yang2/null/null/
黄叶/null/null/huang2,ye4/null/null/
恍若/null/null/huang3,ruo4/null/null/
晃荡/null/null/huang4,dang4/null/null/
晃动/null/null/huang4,dong4/null/null/
晃眼/null/null/huang3,yan3/null/null/
晃晃/null/null/huang4,huang3/null/null/
晃摇/null/null/huang4,yao2/null/null/
晃悠/null/null/huang4,you1/null/null/
灰分/null/null/hui1,fen1/null/null/
灰化/null/null/hui1,hua4/null/null/
灰浆/null/null/hui1,jiang1/null/null/
灰沙/null/null/hui1,sha1/null/null/
挥发/null/null/hui1,fa1/null/null/
挥洒/null/null/hui1,sa3/null/null/
徽调/null/null/hui1,diao4/null/null/
辉石/null/null/hui1,shi2/null/null/
徽号/null/null/hui1,hao4/null/null/
回车/null/null/hui2,che1/null/null/
回采/null/null/hui2,cai3/null/null/
回答/null/null/hui2,da2/null/null/
回单/null/null/hui2,dan1/null/null/
回弹/null/null/hui2,tan2/null/null/
回纥/null/null/hui2,he2/null/null/
回风/null/null/hui2,feng1/null/null/
回合/null/null/hui2,he2/null/null/
回还/null/null/hui2,huan2/null/null/
回见/null/null/hui2,jian4/null/null/
回教/null/null/hui2,jiao4/null/null/
回笼/null/null/hui2,long2/null/null/
回空/null/null/hui2,kong1/null/null/
回落/null/null/hui2,luo4/null/null/
回填/null/null/hui2,tian2/null/null/
回条/null/null/hui2,tiao2/null/null/
回帖/null/null/hui2,tie1/null/null/
回头/null/null/hui2,tou2/null/null/
回旋/null/null/hui2,xuan2/null/null/
回信/null/null/hui2,xin4/null/null/
回应/null/null/hui2,ying4/null/null/
回转/null/null/hui2,zhuan3/null/null/
回涨/null/null/hui2,zhang3/null/null/
悔过/null/null/hui3,guo4/null/null/
汇兑/null/null/hui4,dui4/null/null/
汇合/null/null/hui4,he2/null/null/
汇价/null/null/hui4,jia4/null/null/
汇率/null/null/hui4,lv4/null/null/
汇票/null/null/hui4,piao4/null/null/
会报/null/null/hui4,bao4/null/null/
会餐/null/null/hui4,can1/null/null/
会标/null/null/hui4,biao1/null/null/
会操/null/null/hui4,cao1/null/null/
会长/null/null/hui4,chang2/null/null/
会昌/null/null/hui4,chang1/null/null/
会钞/null/null/hui4,chao1/null/null/
会场/null/null/hui4,chang3/null/null/
会车/null/null/hui4,che1/null/null/
会党/null/null/hui4,dang3/null/null/
会典/null/null/hui4,dian3/null/null/
会儿/null/null/hui4,er5/null/null/
会费/null/null/hui4,fei4/null/null/
会风/null/null/hui4,feng1/null/null/
会馆/null/null/hui4,guan3/null/null/
会合/null/null/hui4,he2/null/null/
会话/null/null/hui4,hua4/null/null/
会徽/null/null/hui4,hui1/null/null/
会集/null/null/hui4,ji2/null/null/
会籍/null/null/hui4,ji2/null/null/
会计/null/null/kuai4,ji4/null/null/
会见/null/null/hui4,jian4/null/null/
会剿/null/null/hui4,jiao3/null/null/
会聚/null/null/hui4,ju4/null/null/
会刊/null/null/hui4,kan1/null/null/
会考/null/null/hui4,kao3/null/null/
会客/null/null/hui4,ke4/null/null/
会理/null/null/hui4,li3/null/null/
会面/null/null/hui4,mian4/null/null/
会宁/null/null/hui4,ning2/null/null/
会齐/null/null/hui4,qi2/null/null/
会期/null/null/hui4,qi1/null/null/
会签/null/null/hui4,qian1/null/null/
会商/null/null/hui4,shang1/null/null/
会上/null/null/hui4,shang4/null/null/
会社/null/null/hui4,she4/null/null/
会审/null/null/hui4,shen3/null/null/
会师/null/null/hui4,shi1/null/null/
会试/null/null/hui4,shi4/null/null/
会水/null/null/hui4,shui3/null/null/
会首/null/null/hui4,shou3/null/null/
会所/null/null/hui4,suo3/null/null/
会谈/null/null/hui4,tan2/null/null/
会堂/null/null/hui4,tang2/null/null/
会通/null/null/hui4,tong1/null/null/
会同/null/null/hui4,tong2/null/null/
会务/null/null/hui4,wu4/null/null/
会晤/null/null/hui4,wu4/null/null/
会演/null/null/hui4,yan3/null/null/
会心/null/null/hui4,xin1/null/null/
会厌/null/null/hui4,yan4/null/null/
会议/null/null/hui4,yi4/null/null/
会阴/null/null/hui4,yin1/null/null/
会友/null/null/hui4,you3/null/null/
会意/null/null/hui4,yi4/null/null/
会元/null/null/hui4,yuan2/null/null/
会员/null/null/hui4,yuan2/null/null/
会战/null/null/hui4,zhan4/null/null/
会章/null/null/hui4,zhang1/null/null/
会账/null/null/hui4,zhang4/null/null/
会诊/null/null/hui4,zhen3/null/null/
会址/null/null/hui4,zhi3/null/null/
会众/null/null/hui4,zhong4/null/null/
惠风/null/null/hui4,feng1/null/null/
毁坏/null/null/hui3,huai4/null/null/
毁约/null/null/hui3,yue1/null/null/
昏晕/null/null/hun1,yun1/null/null/
浑家/null/null/hun2,jia1/null/null/
浑朴/null/null/hun2,piao2/null/null/
浑似/null/null/hun2,si4/null/null/
诨号/null/null/hun4,hao4/null/null/
混饭/null/null/hun4,fan4/null/null/
混和/null/null/hun4,he2/null/null/
混混/null/null/hun4,hun4/null/null/
混血/null/null/hun4,xue4/null/null/
混帐/null/null/hun4,zhang4/null/null/
混子/null/null/hun4,zi3/null/null/
豁出/null/null/huo1,chu1/null/null/
豁口/null/null/huo1,kou3/null/null/
豁达/null/null/huo4,da2/null/null/
豁朗/null/null/huo4,lang3/null/null/
豁亮/null/null/huo4,liang4/null/null/
豁免/null/null/huo4,mian3/null/null/
豁拳/null/null/huo2,quan2/null/null/
豁子/null/null/huo1,zi3/null/null/
豁然/null/null/huo4,ran2/null/null/
豁嘴/null/null/huo1,zui3/null/null/
活便/null/null/huo2,bian4/null/null/
活分/null/null/huo2,fen1/null/null/
活佛/null/null/huo2,fo2/null/null/
活化/null/null/huo2,hua4/null/null/
活结/null/null/huo2,jie2/null/null/
活络/null/null/huo2,luo4/null/null/
活期/null/null/huo2,qi1/null/null/
活埋/null/null/huo2,mai2/null/null/
活塞/null/null/huo2,sai1/null/null/
活食/null/null/huo2,shi2/null/null/
活似/null/null/huo2,si4/null/null/
活体/null/null/huo2,ti3/null/null/
活着/null/null/huo2,zhe/null/null/
活血/null/null/huo2,xue4/null/null/
火把/null/null/huo3,ba3/null/null/
火并/null/null/huo3,bing4/null/null/
火场/null/null/huo3,chang3/null/null/
火车/null/null/huo3,che1/null/null/
火夫/null/null/huo3,fu1/null/null/
火红/null/null/huo3,hong2/null/null/
火化/null/null/huo3,hua4/null/null/
火笼/null/null/huo3,long2/null/null/
火炮/null/null/huo3,pao4/null/null/
火捻/null/null/huo3,nian3/null/null/
火石/null/null/huo3,shi2/null/null/
火头/null/null/huo3,tou2/null/null/
火种/null/null/huo3,zhong3/null/null/
伙夫/null/null/huo3,fu1/null/null/
伙食/null/null/huo3,shi2/null/null/
伙同/null/null/huo3,tong2/null/null/
或体/null/null/huo4,ti3/null/null/
或许/null/null/huo4,xu3/null/null/
货场/null/null/huo4,chang3/null/null/
货车/null/null/huo4,che1/null/null/
货单/null/null/huo4,dan1/null/null/
货柜/null/null/huo4,gui4/null/null/
货价/null/null/huo4,jia4/null/null/
货郎/null/null/huo4,lang2/null/null/
货票/null/null/huo4,piao4/null/null/
货殖/null/null/huo4,zhi2/null/null/
获得/null/null/huo4,de2/null/null/
获知/null/null/huo4,zhi1/null/null/
霍地/null/null/huo4,di4/null/null/
讥嘲/null/null/ji1,chao2/null/null/
讥刺/null/null/ji1,ci4/null/null/
击打/null/null/ji1,da3/null/null/
击发/null/null/ji1,fa1/null/null/
击节/null/null/ji1,jie2/null/null/
击溃/null/null/ji1,kui4/null/null/
击落/null/null/ji1,luo4/null/null/
击中/null/null/ji1,zhong4/null/null/
机长/null/null/ji1,zhang3/null/null/
机场/null/null/ji1,chang3/null/null/
机车/null/null/ji1,che1/null/null/
机化/null/null/ji1,hua4/null/null/
机会/null/null/ji1,hui4/null/null/
机降/null/null/ji1,jiang4/null/null/
机能/null/null/ji1,neng2/null/null/
机体/null/null/ji1,ti3/null/null/
机要/null/null/ji1,yao4/null/null/
机织/null/null/ji1,zhi1/null/null/
机轴/null/null/ji1,zhou2/null/null/
肌骨/null/null/ji1,gu3/null/null/
肌体/null/null/ji1,ti3/null/null/
鸡冠/null/null/ji1,guan1/null/null/
鸡丁/null/null/ji1,ding1/null/null/
鸡肋/null/null/ji1,lei4/null/null/
鸡笼/null/null/ji1,long2/null/null/
鸡头/null/null/ji1,tou2/null/null/
迹地/null/null/ji4,di4/null/null/
积分/null/null/ji1,fen1/null/null/
积累/null/null/ji1,lei3/null/null/
积压/null/null/ji1,ya1/null/null/
积食/null/null/ji1,shi2/null/null/
积数/null/null/ji1,shu4/null/null/
积雨/null/null/ji1,yu3/null/null/
积攒/null/null/ji1,zan3/null/null/
缉捕/null/null/ji1,bu3/null/null/
犄角/null/null/ji1,jiao3/null/null/
缉查/null/null/ji1,zha1/null/null/
缉获/null/null/ji1,huo4/null/null/
缉拿/null/null/ji1,na2/null/null/
缉凶/null/null/ji1,xiong1/null/null/
缉私/null/null/ji1,si1/null/null/
箕斗/null/null/ji1,dou4/null/null/
稽查/null/null/ji1,zha1/null/null/
稽察/null/null/ji1,cha2/null/null/
稽核/null/null/ji1,he2/null/null/
稽考/null/null/ji1,kao3/null/null/
稽留/null/null/ji1,iu2/null/null/
稽首/null/null/qi3,shou3/null/null/
稽征/null/null/ji1,zheng1/null/null/
稽延/null/null/ji1,yan2/null/null/
激发/null/null/ji1,fa1/null/null/
激化/null/null/ji1,hua4/null/null/
激将/null/null/ji1,jiang4/null/null/
激切/null/null/ji1,qie4/null/null/
吉期/null/null/ji2,qi1/null/null/
级别/null/null/ji2,bie2/null/null/
级差/null/null/ji2,cha4/null/null/
级任/null/null/ji2,ren4/null/null/
级数/null/null/ji2,shu4/null/null/
即便/null/null/ji2,bian4/null/null/
即将/null/null/ji2,jiang1/null/null/
即景/null/null/ji2,jing3/null/null/
即令/null/null/ji2,ling4/null/null/
即期/null/null/ji2,qi1/null/null/
即若/null/null/ji2,ruo4/null/null/
即兴/null/null/ji2,xing4/null/null/
即行/null/null/ji2,xing2/null/null/
极大/null/null/ji2,da4/null/null/
极地/null/null/ji2,di4/null/null/
极度/null/null/ji2,du4/null/null/
极恶/null/null/ji2,e4/null/null/
极好/null/null/ji2,hao3/null/null/
极化/null/null/ji2,hua4/null/null/
极乐/null/null/ji2,le4/null/null/
极量/null/null/ji2,liang4/null/null/
极其/null/null/ji2,qi2/null/null/
极圈/null/null/ji2,quan1/null/null/
极为/null/null/ji2,wei2/null/null/
极盛/null/null/ji2,sheng4/null/null/
亟亟/null/null/ji2,ji2/null/null/
急风/null/null/ji2,feng1/null/null/
急难/null/null/ji2,nan4/null/null/
急迫/null/null/ji2,po4/null/null/
急切/null/null/ji2,qie4/null/null/
急要/null/null/ji2,yao4/null/null/
疾风/null/null/ji2,feng1/null/null/
急转/null/null/ji2,zhuan3/null/null/
疾行/null/null/ji2,xing2/null/null/
棘刺/null/null/ji2,ci4/null/null/
集合/null/null/ji2,he2/null/null/
集会/null/null/ji2,hui4/null/null/
集结/null/null/ji2,jie2/null/null/
集宁/null/null/ji2,ning2/null/null/
集散/null/null/ji2,san4/null/null/
集体/null/null/ji2,ti3/null/null/
集约/null/null/ji2,yue1/null/null/
集中/null/null/ji2,zhong1/null/null/
辑佚/null/null/ji2,yi4/null/null/
辑要/null/null/ji2,yao4/null/null/
瘠薄/null/null/ji2,bao2/null/null/
籍没/null/null/ji2,mo4/null/null/
几案/null/null/ji1,an4/null/null/
几多/null/null/ji3,duo1/null/null/
几儿/null/null/ji3,er2/null/null/
几分/null/null/ji3,fen1/null/null/
几个/null/null/ji3,ge4/null/null/
几何/null/null/ji3,he2/null/null/
几乎/null/null/ji1,hu1/null/null/
几率/null/null/ji1,lv4/null/null/
几经/null/null/ji3,jing1/null/null/
几时/null/null/ji3,shi2/null/null/
几微/null/null/ji1,wei1/null/null/
几希/null/null/ji1,xi1/null/null/
几样/null/null/ji3,yang4/null/null/
几许/null/null/ji3,xu3/null/null/
几曾/null/null/ji3,zeng1/null/null/
几至/null/null/ji1,zhi4/null/null/
己任/null/null/ji3,ren4/null/null/
己见/null/null/ji3,jian4/null/null/
挤兑/null/null/ji3,dui4/null/null/
挤落/null/null/ji3,luo4/null/null/
挤压/null/null/ji3,ya1/null/null/
挤占/null/null/ji3,zhan4/null/null/
脊背/null/null/ji3,bei4/null/null/
脊骨/null/null/ji3,gu3/null/null/
脊椎/null/null/ji3,zhui1/null/null/
记仇/null/null/ji4,chou2/null/null/
记得/null/null/ji4,de/null/null/
记分/null/null/ji4,fen1/null/null/
记过/null/null/ji4,guo4/null/null/
记号/null/null/ji4,hao4/null/null/
记要/null/null/ji4,yao4/null/null/
记载/null/null/ji4,zai3/null/null/
伎俩/null/null/ji4,liang3/null/null/
纪纲/null/null/ji4,gang1/null/null/
纪检/null/null/ji4,jian3/null/null/
纪录/null/null/ji4,lu4/null/null/
纪律/null/null/ji4,lv4/null/null/
纪年/null/null/ji4,nian2/null/null/
纪念/null/null/ji4,nian4/null/null/
纪实/null/null/ji4,shi2/null/null/
纪事/null/null/ji4,shi4/null/null/
纪委/null/null/ji4,wei3/null/null/
纪行/null/null/ji4,xing2/null/null/
纪要/null/null/ji4,yao4/null/null/
纪元/null/null/ji4,yuan2/null/null/
妓女/null/null/ji4,nv3/null/null/
忌惮/null/null/ji4,dan4/null/null/
忌食/null/null/ji4,shi2/null/null/
技能/null/null/ji4,neng2/null/null/
技术/null/null/ji4,shu4/null/null/
际会/null/null/ji4,hui4/null/null/
剂量/null/null/ji4,liang4/null/null/
季度/null/null/ji4,du4/null/null/
季父/null/null/ji4,fu4/null/null/
季风/null/null/ji4,feng1/null/null/
季节/null/null/ji4,jie2/null/null/
济公/null/null/ji4,gong1/null/null/
济济/null/null/ji4,ji4/null/null/
济南/null/null/ji3,nan2/null/null/
济贫/null/null/ji4,pin2/null/null/
济世/null/null/ji4,shi4/null/null/
济事/null/null/ji4,shi4/null/null/
济私/null/null/ji4,si1/null/null/
济助/null/null/ji4,zhu4/null/null/
继父/null/null/ji4,fu4/null/null/
继任/null/null/ji4,ren4/null/null/
偈语/null/null/ji4,yu3/null/null/
祭品/null/null/ji4,pin3/null/null/
加车/null/null/jia1,che1/null/null/
加盖/null/null/jia1,gai4/null/null/
加号/null/null/jia1,hao4/null/null/
加价/null/null/jia1,jia4/null/null/
加劲/null/null/jia1,jin4/null/null/
加强/null/null/jia1,qiang2/null/null/
加数/null/null/jia1,shu4/null/null/
加压/null/null/jia1,ya1/null/null/
加重/null/null/jia1,zhong4/null/null/
夹袄/null/null/jia2,ao3/null/null/
夹板/null/null/jia1,ban3/null/null/
夹被/null/null/jia2,bei4/null/null/
夹层/null/null/jia1,ceng2/null/null/
夹持/null/null/jia1,chi2/null/null/
夹带/null/null/jia1,dai4/null/null/
夹道/null/null/jia1,dao4/null/null/
夹缝/null/null/jia1,feng4/null/null/
夹攻/null/null/jia1,gong1/null/null/
夹棍/null/null/jia1,gun4/null/null/
夹击/null/null/jia1,ji1/null/null/
夹剪/null/null/jia1,jian3/null/null/
夹角/null/null/jia1,jiao3/null/null/
夹紧/null/null/jia1,jin3/null/null/
夹具/null/null/jia1,ju4/null/null/
夹批/null/null/jia1,pi1/null/null/
夹克/null/null/jia2,ke4/null/null/
夹钳/null/null/jia1,qian2/null/null/
夹墙/null/null/jia1,qiang2/null/null/
夹生/null/null/jia1,sheng1/null/null/
夹馅/null/null/jia1,xian4/null/null/
夹衣/null/null/jia2,yi1/null/null/
夹心/null/null/jia1,xin1/null/null/
夹杂/null/null/jia1,za2/null/null/
夹峙/null/null/jia1,zhi4/null/null/
夹子/null/null/jia1,zi/null/null/
佳节/null/null/jia1,jie2/null/null/
夹注/null/null/jia1,zhu4/null/null/
佳句/null/null/jia1,ju4/null/null/
佳丽/null/null/jia1,li4/null/null/
佳期/null/null/jia1,qi1/null/null/
家财/null/null/jia1,cai2/null/null/
家蚕/null/null/jia1,can2/null/null/
家产/null/null/jia1,chan3/null/null/
家长/null/null/jia1,zhang3/null/null/
家常/null/null/jia1,chang2/null/null/
家臣/null/null/jia1,chen2/null/null/
家仇/null/null/jia1,chou2/null/null/
家丑/null/null/jia1,chou3/null/null/
家传/null/null/jia1,chuan2/null/null/
家慈/null/null/jia1,ci2/null/null/
家祠/null/null/jia1,ci2/null/null/
家道/null/null/jia1,dao4/null/null/
家当/null/null/jia1,dang4/null/null/
家底/null/null/jia1,di3/null/null/
家弟/null/null/jia1,di4/null/null/
家电/null/null/jia1,dian4/null/null/
家法/null/null/jia1,fa3/null/null/
家丁/null/null/jia1,ding1/null/null/
家访/null/null/jia1,fang3/null/null/
家风/null/null/jia1,feng1/null/null/
家父/null/null/jia1,fu4/null/null/
家鸽/null/null/jia1,ge1/null/null/
家姑/null/null/jia1,gu1/null/null/
家规/null/null/jia1,gui1/null/null/
家伙/null/null/jia1,huo/null/null/
家鸡/null/null/jia1,ji1/null/null/
家祭/null/null/jia1,ji4/null/null/
家计/null/null/jia1,ji4/null/null/
家家/null/null/jia1,jia1/null/null/
家教/null/null/jia1,jiao4/null/null/
家景/null/null/jia1,jing3/null/null/
家境/null/null/jia1,jing4/null/null/
家居/null/null/jia1,ju1/null/null/
家具/null/null/jia1,ju4/null/null/
家俱/null/null/jia1,ju4/null/null/
家眷/null/null/jia1,juan4/null/null/
家口/null/null/jia1,kou3/null/null/
家累/null/null/jia1,lei3/null/null/
家里/null/null/jia1,li3/null/null/
家门/null/null/jia1,men2/null/null/
家母/null/null/jia1,mu3/null/null/
家酿/null/null/jia1,niang4/null/null/
家奴/null/null/jia1,nu2/null/null/
家仆/null/null/jia1,pu2/null/null/
家谱/null/null/jia1,pu3/null/null/
家禽/null/null/jia1,qin2/null/null/
家雀/null/null/jia1,qiao3/null/null/
家人/null/null/jia1,ren2/null/null/
家什/null/null/jia1,shi2/null/null/
家史/null/null/jia1,shi3/null/null/
家世/null/null/jia1,shi4/null/null/
家事/null/null/jia1,shi4/null/null/
家室/null/null/jia1,shi4/null/null/
家塾/null/null/jia1,shu2/null/null/
家鼠/null/null/jia1,shu3/null/null/
家书/null/null/jia1,shu1/null/null/
家私/null/null/jia1,si1/null/null/
家庭/null/null/jia1,ting2/null/null/
家童/null/null/jia1,tong2/null/null/
家兔/null/null/jia1,tu4/null/null/
家翁/null/null/jia1,weng1/null/null/
家务/null/null/jia1,wu4/null/null/
家系/null/null/jia1,xi4/null/null/
家乡/null/null/jia1,xiang1/null/null/
家小/null/null/jia1,xiao3/null/null/
家信/null/null/jia1,xin4/null/null/
家兄/null/null/jia1,xiong1/null/null/
家学/null/null/jia1,xue2/null/null/
家训/null/null/jia1,xun4/null/null/
家严/null/null/jia1,yan2/null/null/
家宴/null/null/jia1,yan4/null/null/
家畜/null/null/jia1,chu4/null/null/
家养/null/null/jia1,yang3/null/null/
家燕/null/null/jia1,yan4/null/null/
家业/null/null/jia1,ye4/null/null/
家蝇/null/null/jia1,ying2/null/null/
家用/null/null/jia1,yong4/null/null/
家园/null/null/jia1,yuan2/null/null/
家院/null/null/jia1,yuan4/null/null/
家贼/null/null/jia1,zei2/null/null/
家珍/null/null/jia1,zhen1/null/null/
家宅/null/null/jia1,zhai2/null/null/
家政/null/null/jia1,zheng4/null/null/
家种/null/null/jia1,zhong4/null/null/
家属/null/null/jia1,shu3/null/null/
家资/null/null/jia1,zi1/null/null/
家姊/null/null/jia1,zi3/null/null/
家族/null/null/jia1,zu2/null/null/
嘉许/null/null/jia1,xu3/null/null/
嘉应/null/null/jia1,ying4/null/null/
岬角/null/null/jia3,jiao3/null/null/
颊车/null/null/jia2,che1/null/null/
颊囊/null/null/jia2,nang2/null/null/
甲骨/null/null/jia3,gu3/null/null/
甲壳/null/null/jia3,qiao4/null/null/
贾祸/null/null/gu3,huo4/null/null/
贾人/null/null/gu3,ren2/null/null/
价格/null/null/jia4,ge2/null/null/
价码/null/null/jia4,ma3/null/null/
价目/null/null/jia4,mu4/null/null/
价钱/null/null/jia4,qian2/null/null/
价值/null/null/jia4,zhi2/null/null/
驾车/null/null/jia4,che1/null/null/
架空/null/null/jia4,kong1/null/null/
假道/null/null/jia3,dao4/null/null/
假话/null/null/jia3,hua4/null/null/
假髻/null/null/jia3,ji4/null/null/
假面/null/null/jia3,mian4/null/null/
假言/null/null/jia3,yan2/null/null/
假植/null/null/jia3,zhi2/null/null/
奸恶/null/null/jian1,e4/null/null/
奸夫/null/null/jian1,fu1/null/null/
奸邪/null/null/jian1,xie2/null/null/
尖头/null/null/jian1,tou2/null/null/
尖削/null/null/jian1,xiao1/null/null/
坚称/null/null/jian1,cheng1/null/null/
坚强/null/null/jian1,qiang2/null/null/
坚信/null/null/jian1,xin4/null/null/
间谍/null/null/jian4,die2/null/null/
间断/null/null/jian4,duan4/null/null/
间隔/null/null/jian4,ge2/null/null/
间或/null/null/jian4,huo4/null/null/
间架/null/null/jian1,jia4/null/null/
间接/null/null/jian4,jie1/null/null/
间距/null/null/jian1,ju4/null/null/
间量/null/null/jian1,liang4/null/null/
间苗/null/null/jian4,miao2/null/null/
间色/null/null/jian4,se4/null/null/
间隙/null/null/jian4,xi4/null/null/
间歇/null/null/jian4,xie1/null/null/
间种/null/null/jian4,zhong4/null/null/
间奏/null/null/jian4,zou4/null/null/
间作/null/null/jian4,zuo4/null/null/
肩背/null/null/jian1,bei4/null/null/
肩头/null/null/jian1,tou2/null/null/
肩挑/null/null/jian1,tiao1/null/null/
艰难/null/null/jian1,nan2/null/null/
兼并/null/null/jian1,bing4/null/null/
兼差/null/null/jian1,chai1/null/null/
兼任/null/null/jian1,ren4/null/null/
监测/null/null/jian1,ce4/null/null/
监察/null/null/jian1,cha2/null/null/
监场/null/null/jian1,chang3/null/null/
监督/null/null/jian1,du1/null/null/
监犯/null/null/jian1,fan4/null/null/
监房/null/null/jian1,fang2/null/null/
监工/null/null/jian1,gong1/null/null/
监管/null/null/jian1,guan3/null/null/
监规/null/null/jian1,gui1/null/null/
监护/null/null/jian1,hu4/null/null/
监禁/null/null/jian1,jin4/null/null/
监考/null/null/jian1,kao3/null/null/
监控/null/null/jian1,kong4/null/null/
监牢/null/null/jian1,lao2/null/null/
