阿Ｑ/null/null/a1,Ｑ
尘沙/null/null/chen2,sha1
臣仆/null/null/chen2,pu2
臣服/null/null/chen2,fu2
沉没/null/null/chen2,mo4
沉闷/null/null/chen2,men4
沉溺/null/null/chen2,ni4
沉思/null/null/chen2,si1
沉重/null/null/chen2,zhong4
沉着/null/null/chen2,zhuo2
陈说/null/null/chen2,shuo1
晨风/null/null/chen2,feng1
闯将/null/null/chuang3,jiang4
闯劲/null/null/chuang3,jin4
闯王/null/null/chuang3,wang2
称便/null/null/cheng1,bian4
称霸/null/null/cheng1,ba4
称兵/null/null/cheng1,bing1
称病/null/null/cheng1,bing4
称臣/null/null/cheng1,chen2
称贷/null/null/cheng1,dai4
称道/null/null/cheng1,dao4
称帝/null/null/cheng1,di4
称号/null/null/cheng1,hao4
称贺/null/null/cheng1,he4
称呼/null/null/cheng1,hu1
称快/null/null/cheng1,kuai4
称量/null/null/cheng1,liang2
称赏/null/null/cheng1,shang3
称身/null/null/chen4,shen1
称述/null/null/cheng1,shu4
称说/null/null/cheng1,shuo1
称叹/null/null/cheng1,tan4
称颂/null/null/cheng1,song4
称为/null/null/cheng1,wei2
称羡/null/null/cheng1,xian4
称谓/null/null/cheng1,wei4
称谢/null/null/cheng1,xie4
称心/null/null/chen4,xin1
称许/null/null/cheng1,xu3
称雄/null/null/cheng1,xiong2
称扬/null/null/cheng1,yang2
称引/null/null/cheng1,yin3
称意/null/null/cheng1,yi4
称誉/null/null/cheng1,yu4
称愿/null/null/chen4,yuan4
称赞/null/null/cheng1,zan4
称重/null/null/cheng1,zhong4
称职/null/null/chen4,zhi2
称作/null/null/cheng1,zuo4
趁便/null/null/chen4,bian4
趁空/null/null/chen4,kong4
谶语/null/null/chen4,yu3
撑杆/null/null/cheng1,gan1
丞相/null/null/cheng2,xiang4
成长/null/null/cheng2,zhang3
成仇/null/null/cheng2,chou2
成丁/null/null/cheng2,ding1
成分/null/null/cheng2,fen4
成都/null/null/cheng2,du1
成份/null/null/cheng2,fen4
成风/null/null/cheng2,feng1
成服/null/null/cheng2,fu2
成化/null/null/cheng2,hua4
成家/null/null/cheng2,jia1
成见/null/null/cheng2,jian4
成亲/null/null/cheng2,qin1
成趣/null/null/cheng2,qu4
成数/null/null/cheng2,shu4
成说/null/null/cheng2,shuo1
成体/null/null/cheng2,ti3
成为/null/null/cheng2,wei2
成语/null/null/cheng2,yu3
成行/null/null/cheng2,hang2
成员/null/null/cheng2,yuan2
成约/null/null/cheng2,yue1
呈露/null/null/cheng2,lu4
呈上/null/null/cheng2,shang4
呈正/null/null/cheng2,zheng4
承担/null/null/cheng2,dan1
承当/null/null/cheng2,dang1
承兑/null/null/cheng2,dui4
承浆/null/null/cheng2,jiang1
承蒙/null/null/cheng2,meng2
承应/null/null/cheng2,ying4
承载/null/null/cheng2,zai4
承重/null/null/cheng2,zhong4
承转/null/null/cheng2,zhuan3
诚服/null/null/cheng2,fu2
诚朴/null/null/cheng2,piao2
诚信/null/null/cheng2,xin4
城堡/null/null/cheng2,bao3
城垛/null/null/cheng2,duo3
城区/null/null/cheng2,qu1
城阙/null/null/cheng2,que4
城头/null/null/cheng2,tou2
乘便/null/null/cheng2,bian4
乘乘/null/null/cheng2,cheng2
乘车/null/null/cheng2,che1
乘除/null/null/cheng2,chu2
乘法/null/null/cheng2,fa3
乘风/null/null/cheng2,feng1
乘方/null/null/cheng2,fang1
乘号/null/null/cheng2,hao4
乘机/null/null/cheng2,ji1
乘积/null/null/cheng2,ji1
乘警/null/null/cheng2,jing3
乘客/null/null/cheng2,ke4
乘马/null/null/cheng2,ma3
乘凉/null/null/cheng2,liang2
乘幂/null/null/cheng2,mi4
乘胜/null/null/cheng2,sheng4
乘势/null/null/cheng2,shi4
乘数/null/null/cheng2,shu4
乘隙/null/null/cheng2,xi4
乘兴/null/null/cheng2,xing4
乘虚/null/null/cheng2,xu1
乘坐/null/null/cheng2,zuo4
程度/null/null/cheng2,du4
惩处/null/null/cheng2,chu3
澄碧/null/null/cheng2,bi4
澄澈/null/null/cheng2,che4
澄净/null/null/cheng2,jing4
澄江/null/null/cheng2,jiang1
澄明/null/null/cheng2,ming2
澄清/null/null/cheng2,qing1
澄沙/null/null/deng4,sha1
澄莹/null/null/cheng2,ying2
橙红/null/null/cheng2,hong2
逞能/null/null/cheng3,neng2
逞强/null/null/cheng3,qiang2
秤杆/null/null/cheng4,gan3
吃喝/null/null/chi1,he1
吃劲/null/null/chi1,jin4
吃食/null/null/chi1,shi2
吃相/null/null/chi1,xiang4
吃重/null/null/chi1,zhong4
哧溜/null/null/chi1,iu1
鸱尾/null/null/chi1,wei3
迟疑/null/null/chi2,yi2
持家/null/null/chi2,jia1
持节/null/null/chi2,jie2
持论/null/null/chi2,lun4
持有/null/null/chi2,you3
持重/null/null/chi2,zhong4
持正/null/null/chi2,zheng4
匙子/null/null/chi2,zi5
尺寸/null/null/chi3,cun4
尺幅/null/null/chi3,fu2
尺度/null/null/chi3,du4
尺牍/null/null/chi3,du2
尺骨/null/null/chi3,gu3
尺蠖/null/null/chi3,huo4
尺码/null/null/chi3,ma3
尺泽/null/null/chi3,ze2
尺子/null/null/chi3,zi5
齿冠/null/null/chi3,guan1
齿条/null/null/chi3,tiao2
齿龈/null/null/chi3,yin2
耻骨/null/null/chi3,gu3
叱喝/null/null/chi4,he4
叱令/null/null/chi4,ling4
赤背/null/null/chi4,bei4
赤地/null/null/chi4,di4
赤红/null/null/chi4,hong2
赤露/null/null/chi4,lu4
饬令/null/null/chi4,ling4
炽盛/null/null/chi4,sheng4
翅鞘/null/null/chi4,qiao4
充当/null/null/chong1,dang1
充任/null/null/chong1,ren4
充分/null/null/chong1,fen4
充塞/null/null/chong1,se4
充数/null/null/chong1,shu4
充填/null/null/chong1,tian2
充血/null/null/chong1,xue4
冲冲/null/null/chong1,chong1
冲刺/null/null/chong1,ci4
冲床/null/null/chong4,chuang2
冲淡/null/null/chong1,dan4
冲动/null/null/chong1,dong4
冲锋/null/null/chong1,feng1
冲犯/null/null/chong1,fan4
冲服/null/null/chong1,fu2
冲击/null/null/chong1,ji1
冲积/null/null/chong1,ji1
冲激/null/null/chong1,ji1
冲剂/null/null/chong1,ji4
冲劲/null/null/chong4,jin4
冲决/null/null/chong1,jue2
冲克/null/null/chong1,ke4
冲孔/null/null/chong4,kong3
冲口/null/null/chong1,kou3
冲扩/null/null/chong1,kuo4
冲浪/null/null/chong1,lang4
冲力/null/null/chong1,li4
冲凉/null/null/chong1,liang2
冲量/null/null/chong1,liang4
冲脉/null/null/chong1,mai4
冲破/null/null/chong1,po4
冲散/null/null/chong1,san4
冲杀/null/null/chong1,sha1
冲刷/null/null/chong1,shua1
冲水/null/null/chong1,shui3
冲塌/null/null/chong1,ta1
冲腾/null/null/chong1,teng2
冲天/null/null/chong1,tian1
冲突/null/null/chong1,tu1
冲洗/null/null/chong1,xi3
冲喜/null/null/chong1,xi3
冲销/null/null/chong1,xiao1
冲压/null/null/chong4,ya1
冲阳/null/null/chong1,yang2
冲要/null/null/chong1,yao4
冲账/null/null/chong1,zhang4
冲帐/null/null/chong1,zhang4
冲撞/null/null/chong1,zhuang4
冲子/null/null/chong4,zi5
宠信/null/null/chong3,xin4
抽查/null/null/chou1,zha1
抽打/null/null/chou1,da3
抽调/null/null/chou1,diao4
抽丁/null/null/chou1,ding1
抽斗/null/null/chou1,dou3
抽风/null/null/chou1,feng1
抽空/null/null/chou1,kong1
抽缩/null/null/chou1,suo1
抽苔/null/null/chou1,tai2
抽头/null/null/chou1,tou2
抽咽/null/null/chou1,ye4
仇敌/null/null/chou2,di2
仇恨/null/null/chou2,hen4
仇家/null/null/chou2,jia1
仇人/null/null/chou2,ren2
仇视/null/null/chou2,shi4
仇杀/null/null/chou2,sha1
仇外/null/null/chou2,wai4
仇隙/null/null/chou2,xi4
仇怨/null/null/chou2,yuan4
绸缪/null/null/chou2,mou2
愁闷/null/null/chou2,men4
愁思/null/null/chou2,si1
稠度/null/null/chou2,du4
筹划/null/null/chou2,hua4
稠糊/null/null/chou2,hu1
酬答/null/null/chou2,da2
酬和/null/null/chou2,he4
酬应/null/null/chou2,ying4
丑恶/null/null/chou3,e4
丑化/null/null/chou3,hua4
丑角/null/null/chou3,jue2
丑相/null/null/chou3,xiang4
丑行/null/null/chou3,xing2
瞅见/null/null/chou3,jian4
臭虫/null/null/chou4,chong2
臭椿/null/null/chou4,chun1
臭骂/null/null/chou4,ma4
臭美/null/null/chou4,mei3
臭棋/null/null/chou4,qi2
臭气/null/null/chou4,qi4
臭味/null/null/chou4,wei4
臭氧/null/null/chou4,yang3
出榜/null/null/chu1,bang3
出奔/null/null/chu1,ben1
出差/null/null/chu1,chai1
出厂/null/null/chu1,chang3
出场/null/null/chu1,chang3
出车/null/null/chu1,che1
出乘/null/null/chu1,cheng2
出处/null/null/chu1,chu4
出发/null/null/chu1,fa1
出港/null/null/chu1,gang3
出汗/null/null/chu1,han4
出价/null/null/chu1,jia4
出家/null/null/chu1,jia1
出溜/null/null/chu1,iu1
出笼/null/null/chu1,long2
出落/null/null/chu1,la4
出没/null/null/chu1,mo4
出奇/null/null/chu1,qi2
出任/null/null/chu1,ren4
出圈/null/null/chu1,quan1
出塞/null/null/chu1,sai4
出丧/null/null/chu1,sang1
出头/null/null/chu1,tou2
出台/null/null/chu1,tai2
出亡/null/null/chu1,wang2
出行/null/null/chu1,xing2
初创/null/null/chu1,chuang4
出血/null/null/chu1,xue4
初度/null/null/chu1,du4
初会/null/null/chu1,hui4
初见/null/null/chu1,jian4
初露/null/null/chu1,lu4
初期/null/null/chu1,qi1
初中/null/null/chu1,zhong1
初叶/null/null/chu1,ye4
除服/null/null/chu2,fu2
除号/null/null/chu2,hao4
除了/null/null/chu2,le5
除丧/null/null/chu2,sang4
除数/null/null/chu2,shu4
锄地/null/null/chu2,di4
锄头/null/null/chu2,tou55
雏燕/null/null/chu2,yan4
础石/null/null/chu3,shi2
橱柜/null/null/chu2,gui4
储藏/null/null/chu3,cang2
储量/null/null/chu3,liang4
楚王/null/null/chu3,wang2
处罚/null/null/chu3,fa2
处处/null/null/chu3,chu4
处方/null/null/chu3,fang1
处分/null/null/chu3,fen4
处境/null/null/chu3,jing4
处理/null/null/chu3,li3
处决/null/null/chu3,jue2
处女/null/null/chu3,nv3
处士/null/null/chu3,shi4
处身/null/null/chu3,shen1
处世/null/null/chu3,shi4
处事/null/null/chu3,shi4
处暑/null/null/chu3,shu3
处死/null/null/chu3,si3
处所/null/null/chu4,suo3
处刑/null/null/chu3,xing2
处于/null/null/chu3,yu2
处治/null/null/chu3,zhi4
处置/null/null/chu3,zhi4
处子/null/null/chu3,zi3
怵头/null/null/chu4,tou2
搐缩/null/null/chu4,suo1
触发/null/null/chu4,fa1
触角/null/null/chu4,jiao3
触觉/null/null/chu4,jue2
憷头/null/null/chu4,tou2
揣测/null/null/chuai3,ce4
揣度/null/null/chuai3,duo2
揣摸/null/null/chuai3,mo1
揣摩/null/null/chuai3,mo2
揣想/null/null/chuai3,xiang3
穿刺/null/null/chuan1,ci4
穿行/null/null/chuan1,xing2
穿着/null/null/chuan1,zhe5
传本/null/null/chuan2,ben3
传播/null/null/chuan2,bo1
传布/null/null/chuan2,bu4
传抄/null/null/chuan2,chao1
传承/null/null/chuan2,cheng2
传唱/null/null/chuan2,chang4
传达/null/null/chuan2,da2
传代/null/null/chuan2,dai4
传单/null/null/chuan2,dan1
传导/null/null/chuan2,dao3
传道/null/null/chuan2,dao4
传动/null/null/chuan2,dong4
传递/null/null/chuan2,di4
传粉/null/null/chuan2,fen3
传感/null/null/chuan2,gan3
传告/null/null/chuan2,gao4
传呼/null/null/chuan2,hu1
传话/null/null/chuan2,hua4
传唤/null/null/chuan2,huan4
传记/null/null/zhuan4,ji4
传家/null/null/chuan2,jia1
传教/null/null/chuan2,jiao4
传经/null/null/chuan2,jing1
传令/null/null/chuan2,ling4
传略/null/null/zhuan4,lüe4
传媒/null/null/chuan2,mei2
传名/null/null/chuan2,ming2
传票/null/null/chuan2,piao4
传奇/null/null/chuan2,qi2
传球/null/null/chuan2,qiu2
传情/null/null/chuan2,qing2
传染/null/null/chuan2,ran3
传热/null/null/chuan2,re4
传人/null/null/chuan2,ren2
传神/null/null/chuan2,shen2
传声/null/null/chuan2,sheng1
传入/null/null/chuan2,ru4
传世/null/null/chuan2,shi4
传输/null/null/chuan2,shu1
传授/null/null/chuan2,shou4
传送/null/null/chuan2,song4
传说/null/null/chuan2,shuo1
传诵/null/null/chuan2,song4
传颂/null/null/chuan2,song4
传统/null/null/chuan2,tong3
传闻/null/null/chuan2,wen2
传习/null/null/chuan2,xi2
传讯/null/null/chuan2,xun4
传扬/null/null/chuan2,yang2
传言/null/null/chuan2,yan2
传译/null/null/chuan2,yi4
传阅/null/null/chuan2,yue4
传真/null/null/chuan2,zhen1
传质/null/null/chuan2,zhi4
传旨/null/null/chuan2,zhi3
传种/null/null/chuan2,zhong3
船夫/null/null/chuan2,fu1
串供/null/null/chuan4,gong4
串戏/null/null/chuan4,xi4
窗扇/null/null/chuang1,shan4
窗台/null/null/chuang1,tai2
床单/null/null/chuang2,dan1
床铺/null/null/chuang2,pu4
床头/null/null/chuang2,tou2
创办/null/null/chuang4,ban4
创汇/null/null/chuang4,hui4
创出/null/null/chuang4,chu1
创痕/null/null/chuang1,hen2
创建/null/null/chuang4,jian4
创见/null/null/chuang4,jian4
创刊/null/null/chuang4,kan1
创口/null/null/chuang1,kou3
创立/null/null/chuang4,li4
创利/null/null/chuang4,li4
创面/null/null/chuang1,mian4
创伤/null/null/chuang1,shang1
创始/null/null/chuang4,shi3
创设/null/null/chuang4,she4
创痛/null/null/chuang1,tong4
创收/null/null/chuang4,shou1
创新/null/null/chuang4,xin1
创议/null/null/chuang4,yi4
创业/null/null/chuang4,ye4
创意/null/null/chuang4,yi4
创优/null/null/chuang4,you1
创制/null/null/chuang4,zhi4
创造/null/null/chuang4,zao4
创作/null/null/chuang4,zuo4
吹打/null/null/chui1,da3
吹弹/null/null/chui1,tan2
吹风/null/null/chui1,feng1
吹拂/null/null/chui1,fu2
吹散/null/null/chui1,san4
吹沙/null/null/chui1,sha1
吹台/null/null/chui1,tai2
吹嘘/null/null/chui1,xu1
垂落/null/null/chui2,luo4
垂体/null/null/chui2,ti3
垂头/null/null/chui2,tou2
锤打/null/null/chui2,da3
锤骨/null/null/chui2,gu3
春分/null/null/chun1,fen1
春风/null/null/chun1,feng1
春化/null/null/chun1,hua4
春假/null/null/chun1,jia4
春节/null/null/chun1,jie2
春景/null/null/chun1,jing3
春卷/null/null/chun1,juan3
春雨/null/null/chun1,yu3
春令/null/null/chun1,ling4
春上/null/null/chun1,shang4
春种/null/null/chun1,zhong4
纯度/null/null/chun2,du4
纯钢/null/null/chun2,gang1
纯化/null/null/chun2,hua4
纯净/null/null/chun2,jing4
纯朴/null/null/chun2,piao2
纯正/null/null/chun2,zheng4
纯种/null/null/chun2,zhong3
唇膏/null/null/chun2,gao1
唇裂/null/null/chun2,lie4
淳厚/null/null/chun2,hou4
淳美/null/null/chun2,mei3
淳化/null/null/chun2,hua4
淳于/null/null/chun2,yu2
醇和/null/null/chun2,he2
醇化/null/null/chun2,hua4
醇朴/null/null/chun2,piao2
醇正/null/null/chun2,zheng4
绰绰/null/null/chuo4,chuo4
绰号/null/null/chuo4,hao4
绰约/null/null/chuo4,yue1
呲牙/null/null/zi1,ya2
词调/null/null/ci2,diao4
词令/null/null/ci2,ling4
词句/null/null/ci2,ju4
词曲/null/null/ci2,qu3
词条/null/null/ci2,tiao2
词头/null/null/ci2,tou2
词尾/null/null/ci2,wei3
词语/null/null/ci2,yu3
慈父/null/null/ci2,fu4
辞别/null/null/ci2,bie2
慈和/null/null/ci2,he2
辞句/null/null/ci2,ju4
辞令/null/null/ci2,ling4
辞条/null/null/ci2,tiao2
辞行/null/null/ci2,xing2
磁场/null/null/ci2,chang3
磁化/null/null/ci2,hua4
磁石/null/null/ci2,shi2
磁体/null/null/ci2,ti3
磁头/null/null/ci2,tou2
此地/null/null/ci3,di4
此间/null/null/ci3,jian1
次长/null/null/ci4,zhang3
次数/null/null/ci4,shu4
次要/null/null/ci4,yao4
刺柏/null/null/ci4,bai3
刺鼻/null/null/ci4,bi2
刺儿/null/null/ci4,er2
刺刀/null/null/ci4,dao1
刺耳/null/null/ci4,er3
刺骨/null/null/ci4,gu3
刺槐/null/null/ci4,huai2
刺客/null/null/ci4,ke4
刺激/null/null/ci4,ji1
刺啦/null/null/ci1,la1
刺溜/null/null/ci1,iu1
刺目/null/null/ci4,mu4
刺配/null/null/ci4,pei4
刺破/null/null/ci4,po4
刺杀/null/null/ci4,sha1
刺伤/null/null/ci4,shang1
刺史/null/null/ci4,shi3
刺探/null/null/ci4,tan4
刺桐/null/null/ci4,tong2
刺痛/null/null/ci4,tong4
刺头/null/null/ci4,tou2
刺网/null/null/ci4,wang3
刺猬/null/null/ci4,wei4
刺绣/null/null/ci4,xiu4
刺眼/null/null/ci4,yan3
刺痒/null/null/ci4,yang2
刺针/null/null/ci4,zhen1
刺字/null/null/ci4,zi4
赐教/null/null/ci4,jiao4
赐给/null/null/ci4,gei3
赐予/null/null/ci4,yu3
从不/null/null/cong2,bu4
从此/null/null/cong2,ci3
从动/null/null/cong2,dong4
从而/null/null/cong2,er2
从化/null/null/cong2,hua4
从犯/null/null/cong2,fan4
从今/null/null/cong2,jin1
从教/null/null/cong2,jiao4
从句/null/null/cong2,ju4
从军/null/null/cong2,jun1
从来/null/null/cong2,lai2
从良/null/null/cong2,liang2
从略/null/null/cong2,lüe4
从命/null/null/cong2,ming4
从前/null/null/cong2,qian2
从权/null/null/cong2,quan2
从戎/null/null/cong2,rong2
从容/null/null/cong2,rong2
从师/null/null/cong2,shi1
从实/null/null/cong2,shi2
从事/null/null/cong2,shi4
从俗/null/null/cong2,su2
从速/null/null/cong2,su4
从头/null/null/cong2,tou2
从先/null/null/cong2,xian1
从小/null/null/cong2,xiao3
从新/null/null/cong2,xin1
从刑/null/null/cong2,xing2
从业/null/null/cong2,ye4
从征/null/null/cong2,zheng1
从优/null/null/cong2,you1
从政/null/null/cong2,zheng4
从中/null/null/cong2,zhong1
从众/null/null/cong2,zhong4
从属/null/null/cong2,shu3
枞阳/null/null/zong1,yang2
葱头/null/null/cong1,tou2
葱绿/null/null/cong1,lv4
凑趣/null/null/cou4,qu4
粗暴/null/null/cu1,bao4
凑数/null/null/cou4,shu4
粗浅/null/null/cu1,qian3
撺弄/null/null/cuan1,nong4
催发/null/null/cui1,fa1
蹿跳/null/null/cuan1,tiao4
催化/null/null/cui1,hua4
催迫/null/null/cui1,po4
摧折/null/null/cui1,she2
脆骨/null/null/cui4,gu3
翠柏/null/null/cui4,bai3
翠绿/null/null/cui4,lv4
村长/null/null/cun1,zhang3
村夫/null/null/cun1,fu1
村落/null/null/cun1,luo4
村上/null/null/cun1,shang4
村头/null/null/cun1,tou2
皴裂/null/null/cun1,lie4
存查/null/null/cun2,zha1
存单/null/null/cun2,dan1
存食/null/null/cun2,shi2
存疑/null/null/cun2,yi2
存亡/null/null/cun2,wang2
存折/null/null/cun2,zhe2
忖度/null/null/cun3,duo2
寸楷/null/null/cun4,kai3
忖量/null/null/cun3,liang4
寸头/null/null/cun4,tou2
搓洗/null/null/cuo1,xi3
搓弄/null/null/cuo1,nong4
撮合/null/null/cuo1,he2
撮箕/null/null/cuo1,ji1
撮弄/null/null/cuo1,nong4
撮要/null/null/cuo1,yao4
挫折/null/null/cuo4,zhe2
错车/null/null/cuo4,che1
错处/null/null/cuo4,chu3
错过/null/null/cuo4,guo4
错觉/null/null/cuo4,jue2
错落/null/null/cuo4,luo4
错综/null/null/cuo4,zong1
耷拉/null/null/da1,la1
搭便/null/null/da1,bian4
搭车/null/null/da1,che1
搭乘/null/null/da1,cheng2
搭盖/null/null/da1,gai4
搭载/null/null/da1,zai4
搭拉/null/null/da1,la1
嗒嗒/null/null/da1,da1
嗒丧/null/null/ta4,sang4
嗒然/null/null/ta4,ran2
达观/null/null/da2,guan1
达摩/null/null/da2,mo2
答案/null/null/da2,an4
答拜/null/null/da2,bai4
答辩/null/null/da2,bian4
答词/null/null/da2,ci2
答对/null/null/da2,dui4
答复/null/null/da2,fu4
答卷/null/null/da2,juan4
答话/null/null/da2,hua4
答礼/null/null/da2,li3
答理/null/null/da1,li3
答腔/null/null/da1,qiang1
答数/null/null/da2,shu4
答问/null/null/da2,wen4
答谢/null/null/da2,xie4
答言/null/null/da2,yan2
答疑/null/null/da2,yi2
答应/null/null/da1,ying4
答语/null/null/da2,yu3
答允/null/null/da1,yun3
打扮/null/null/da3,ban4
打靶/null/null/da3,ba3
打败/null/null/da3,bai4
打包/null/null/da3,bao1
打比/null/null/da3,bi3
打草/null/null/da3,cao3
打杈/null/null/da3,cha4
打颤/null/null/da3,zhan4
打岔/null/null/da3,cha4
打场/null/null/da3,chang2
打春/null/null/da3,chun1
打从/null/null/da3,cong2
打倒/null/null/da3,dao3
打底/null/null/da3,di3
打点/null/null/da3,dian3
打掉/null/null/da3,diao4
打顶/null/null/da3,ding3
打动/null/null/da3,dong4
打洞/null/null/da3,dong4
打斗/null/null/da3,dou4
打赌/null/null/da3,du3
打断/null/null/da3,duan4
打盹/null/null/da3,dun3
打呃/null/null/da3,e5
打发/null/null/da3,fa1
打法/null/null/da3,fa3
打翻/null/null/da3,fan1
打分/null/null/da3,fen1
打嗝/null/null/da3,ge2
打更/null/null/da3,geng1
打工/null/null/da3,gong1
打拱/null/null/da3,gong3
打钩/null/null/da3,gou1
打谷/null/null/da3,gu3
打鼓/null/null/da3,gu3
打卦/null/null/da3,gua4
打鬼/null/null/da3,gui3
打滚/null/null/da3,gun3
打鼾/null/null/da3,han1
打夯/null/null/da3,hang1
打横/null/null/da3,heng2
打呼/null/null/da3,hu1
打滑/null/null/da3,hua2
打火/null/null/da3,huo3
打诨/null/null/da3,hun4
打击/null/null/da3,ji1
打架/null/null/da3,jia4
打尖/null/null/da3,jian1
打浆/null/null/da3,jiang1
打搅/null/null/da3,jiao3
打醮/null/null/da3,jiao4
打劫/null/null/da3,jie2
打结/null/null/da3,jie2
打紧/null/null/da3,jin3
打开/null/null/da3,kai1
打孔/null/null/da3,kong3
打垮/null/null/da3,kua3
打捞/null/null/da3,lao1
打雷/null/null/da3,lei2
打擂/null/null/da3,lei4
打理/null/null/da3,li3
打量/null/null/da3,liang5
打猎/null/null/da3,lie4
打乱/null/null/da3,luan4
打落/null/null/da3,luo4
打骂/null/null/da3,ma4
打门/null/null/da3,men2
打磨/null/null/da3,mo2
打闹/null/null/da3,nao4
打牌/null/null/da3,pai2
打炮/null/null/da3,pao4
打泡/null/null/da3,pao4
打拼/null/null/da3,pin1
打破/null/null/da3,po4
打平/null/null/da3,ping2
打谱/null/null/da3,pu3
打气/null/null/da3,qi4
打枪/null/null/da3,qiang1
打球/null/null/da3,qiu2
打趣/null/null/da3,qu4
打拳/null/null/da3,quan2
打扰/null/null/da3,rao3
打散/null/null/da3,san4
打杀/null/null/da3,sha1
打扫/null/null/da3,sao3
打闪/null/null/da3,shan3
打伤/null/null/da3,shang1
打手/null/null/da3,shou3
打食/null/null/da3,shi2
打水/null/null/da3,shui3
打算/null/null/da3,suan4
打胎/null/null/da3,tai1
打铁/null/null/da3,tie3
打探/null/null/da3,tan4
打听/null/null/da3,ting1
打通/null/null/da3,tong1
打头/null/null/da3,tou2
打退/null/null/da3,tui4
打弯/null/null/da3,wan1
打问/null/null/da3,wen4
打响/null/null/da3,xiang3
打下/null/null/da3,xia4
打消/null/null/da3,xiao1
打旋/null/null/da3,xuan2
打斜/null/null/da3,xie2
打眼/null/null/da3,yan3
打烊/null/null/da3,yang4
打样/null/null/da3,yang4
打药/null/null/da3,yao4
打印/null/null/da3,yin4
打油/null/null/da3,you2
打鱼/null/null/da3,yu2
打援/null/null/da3,yuan2
打杂/null/null/da3,za2
打造/null/null/da3,zao4
打战/null/null/da3,zhan4
打仗/null/null/da3,zhang4
打针/null/null/da3,zhen1
打中/null/null/da3,zhong4
打皱/null/null/da3,zhou4
打住/null/null/da3,zhu4
打转/null/null/da3,zhuan3
打桩/null/null/da3,zhuang1
打字/null/null/da3,zi4
打总/null/null/da3,zong3
打坐/null/null/da3,zuo4
打嘴/null/null/da3,zui3
大安/null/null/da4,an1
大案/null/null/da4,an4
大巴/null/null/da4,ba1
大坝/null/null/da4,ba4
大把/null/null/da4,ba3
大白/null/null/da4,bai2
大败/null/null/da4,bai4
大班/null/null/da4,ban1
大半/null/null/da4,ban4
大包/null/null/da4,bao1
大报/null/null/da4,bao4
大杯/null/null/da4,bei1
大悲/null/null/da4,bei1
大北/null/null/da4,bei3
大本/null/null/da4,ben3
大笔/null/null/da4,bi3
大便/null/null/da4,bian4
大兵/null/null/da4,bing1
大饼/null/null/da4,bing3
大病/null/null/da4,bing4
大波/null/null/da4,bo1
大伯/null/null/da4,bo2
大部/null/null/da4,bu4
大菜/null/null/da4,cai4
大藏/null/null/da4,zang4
大餐/null/null/da4,can1
大肠/null/null/da4,chang2
大氅/null/null/da4,chang3
大钞/null/null/da4,chao1
大潮/null/null/da4,chao2
大车/null/null/da4,che1
大臣/null/null/da4,chen2
大成/null/null/da4,cheng2
大城/null/null/dai4,cheng2
大乘/null/null/da4,cheng2
大虫/null/null/da4,chong2
大处/null/null/da4,chu4
大错/null/null/da4,cuo4
大葱/null/null/da4,cong1
大大/null/null/da4,da4
大胆/null/null/da4,dan3
大刀/null/null/da4,dao1
大道/null/null/da4,dao4
大德/null/null/da4,de2
大堤/null/null/da4,di1
大敌/null/null/da4,di2
大抵/null/null/da4,di3
大帝/null/null/da4,di4
大地/null/null/da4,di4
大典/null/null/da4,dian3
大殿/null/null/da4,dian4
大调/null/null/da4,diao4
大都/null/null/da4,du1
大豆/null/null/da4,dou4
大度/null/null/da4,du4
大端/null/null/da4,duan1
大队/null/null/da4,dui4
大多/null/null/da4,duo1
大发/null/null/da4,fa1
大法/null/null/da4,fa3
大凡/null/null/da4,fan2
大方/null/null/da4,fang1
大分/null/null/da4,fen1
大粪/null/null/da4,fen4
大风/null/null/da4,feng1
大夫/null/null/dai4,fu1
大副/null/null/da4,fu4
大纲/null/null/da4,gang1
大概/null/null/da4,gai4
大干/null/null/da4,gan4
大哥/null/null/da4,ge1
大工/null/null/da4,gong1
大公/null/null/da4,gong1
大功/null/null/da4,gong1
大姑/null/null/da4,gu1
大鼓/null/null/da4,gu3
大故/null/null/da4,gu4
大褂/null/null/da4,gua4
大观/null/null/da4,guan1
大关/null/null/da4,guan1
大官/null/null/da4,guan1
大国/null/null/da4,guo2
大过/null/null/da4,guo4
大海/null/null/da4,hai3
大寒/null/null/da4,han2
大汉/null/null/da4,han4
大好/null/null/da4,hao3
大号/null/null/da4,hao4
大河/null/null/da4,he2
大红/null/null/da4,hong2
大亨/null/null/da4,heng1
大户/null/null/da4,hu4
大话/null/null/da4,hua4
大黄/null/null/dai4,huang2
大会/null/null/da4,hui4
大火/null/null/da4,huo3
大吉/null/null/da4,ji2
大伙/null/null/da4,huo3
大计/null/null/da4,ji4
大忌/null/null/da4,ji4
大家/null/null/da4,jia1
大蓟/null/null/da4,ji4
大驾/null/null/da4,jia4
大江/null/null/da4,jiang1
大将/null/null/da4,jiang4
大脚/null/null/da4,jiao3
大角/null/null/da4,jiao3
大叫/null/null/da4,jiao4
大街/null/null/da4,jie1
大节/null/null/da4,jie2
大捷/null/null/da4,jie2
大姐/null/null/da4,jie3
大解/null/null/da4,jie3
大襟/null/null/da4,jin1
大舅/null/null/da4,jiu4
大举/null/null/da4,ju3
大局/null/null/da4,ju2
大嚼/null/null/da4,jue2
